Sp_KEY;Sp_SWE;is_species
ABKLASS;Abborre;1
ASPKLASS;Asp;1
BENKLASS;Benlöja;1
BJKLASS;Björkna;1
BXKLASS;Braxen;1
BSKLASS;Bergsimpa;1
BRÖKLASS;Bäckröding;1
BRXÖKLAS;BäckrödingXÖring;0
BNKLASS;Bäcknejonöga;1
ELKLASS;Elritsa;1
FKKLASS;Flodkräfta;1
FLKLASS;Flodnejonöga;1
FÄRKLASS;Färna;1
GÄKLASS;Gädda;1
GEKLASS;Gers;1
GLÖKLASS;Groplöja;1
GRÖKLASS;Grönling;1
GÖKLASS;Gös;1
HAKLASS;Harr;1
HNKLASS;Havsnejonöga;1
HOKLASS;Hornsimpa;1
IdKLASS;Id;1
KRÖKLASS;Kanadaröding;1
KRÄKLASS;Kräfta_SP;0
LAKLASS;Lake;1
LXKLASS;Lax;1
LXFXKLAS;Laxfisk;0
LaxÖKLAS;Laxöring;0
LSKLASS;LSKLASS;0
MalKLASS;Mal;1
MÖKLASS;Mört;1
MÖFXKLAS;Mörtfisk;1
NEJKLASS;Nejonögon;0
NIKLASS;Nissöga;1
NORKLASS;Nors;1
REKLASS;Regnbåge;1
RUKLASS;Ruda;1
RÖKLASS;Röding;1
RÖSPKLAS;Rödingfisk;0
SANKLASS;Sandskädda_eller;1
SSKLASS;Sandstubb_eller;1
SAKLASS;Sarv;1
SKKLASS;Signalkräfta;1
SILÖKLAS;Siklöja;1
SIMKLASS;Simpor;0
SMÅKLASS;Småspigg;1
SPKLASS;SPKLASS;1
STOKLASS;Storspigg;1
STEKLASS;Stensimpa;1
STMKLASS;Stäm;1
SBKLASS;Skrubbskädda_eller;1
SMSKLASS;Svartmunnad_smörbult;1
SUKLASS;Sutare;1
VIKLASS;Vimma;1
ÅlKLASS;Ål;1
ÖRKLASS;Öring;1
SIMPTOTKLASS;Simpor_TOT;0
SPIGGTOTKLASS;Spigg_TOT;0
NEJTOTKLASS;Nejonögon_TOT;0
