Year;County;River;Site;WGS84Lat;WGS84Long;Month;Length_cm;Weight_kg;Sex;Type_of_observation;Comments
2017;Halland;Ätran;Herting;56,901249;12,522621;June;47;NA;NA;Camera trap;NA
2017;Halland;Ätran;Herting;56,901249;12,522621;July;48;NA;NA;Camera trap;NA
2017;Halland;Ätran;Herting;56,901249;12,522621;July;50;NA;NA;Camera trap;NA
2017;Halland;Ätran;Herting;56,901249;12,522621;July;74;NA;NA;Camera trap;NA
2017;Halland;Ätran;Herting;56,901249;12,522621;July;61;NA;NA;Camera trap;NA
2017;Halland;Ätran;Herting;56,901249;12,522621;July;58;NA;NA;Camera trap;NA
2017;Halland;Ätran;Herting;56,901249;12,522621;July;50;NA;NA;Camera trap;NA
2017;Halland;Ätran;Herting;56,901249;12,522621;July;50;NA;NA;Camera trap;NA
2017;Halland;Ätran;Herting;56,901249;12,522621;July;62;NA;NA;Camera trap;NA
2017;Halland;Ätran;Herting;56,901249;12,522621;July;51;NA;NA;Camera trap;NA
2017;Halland;Ätran;Herting;56,901249;12,522621;July;62;NA;NA;Camera trap;NA
2017;Halland;Ätran;Herting;56,901249;12,522621;July;63;NA;NA;Camera trap;NA
2017;Halland;Ätran;Herting;56,901249;12,522621;July;50;NA;NA;Camera trap;NA
2017;Halland;Ätran;Herting;56,901249;12,522621;July;45;NA;NA;Camera trap;NA
2017;Halland;Ätran;Herting;56,901249;12,522621;July;51;NA;NA;Camera trap;NA
2017;Halland;Ätran;Herting;56,901249;12,522621;August;66;NA;NA;Camera trap;NA
2017;Halland;Ätran;Herting;56,901249;12,522621;August;55;NA;NA;Camera trap;NA
2017;Halland;Ätran;Herting;56,901249;12,522621;August;50;NA;NA;Camera trap;NA
2019;Halland;Ätran;Herting;56,901249;12,522621;July;75;NA;NA;Camera trap;NA
2019;Halland;Ätran;Herting;56,901249;12,522621;July;46;NA;NA;Camera trap;NA
2019;Halland;Ätran;Herting;56,901249;12,522621;July;47;NA;NA;Camera trap;NA
2019;Halland;Ätran;Herting;56,901249;12,522621;August;77;NA;NA;Camera trap;NA
2019;Halland;Ätran;Herting;56,901249;12,522621;August;47;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;June;61;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;June;41;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;June;64;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;June;48;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;63;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;52;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;58;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;45;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;61;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;48;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;53;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;52;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;58;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;52;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;59;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;55;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;42;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;45;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;55;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;48;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;44;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;47;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;41;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;52;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;36;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;48;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;42;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;50;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;46;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;50;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;51;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;47;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;50;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;51;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;63;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;48;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;47;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;45;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;58;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;45;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;July;44;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;August;51;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;August;38;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;August;47;NA;NA;Camera trap;NA
2021;Halland;Ätran;Herting;56,901249;12,522621;August;48;NA;NA;Camera trap;NA
2021;Halland;Ätran;Vessingebo;56,977801;12,655306;July;55;1,5;Male;Caught;NA
2021;Halland;Ätran;Nydala;57,067636;12,655216;NA;NA;NA;NA;Caught;NA
2021;Halland;Ätran;Nydala;57,067636;12,655216;NA;NA;NA;NA;Caught;NA
2021;Västra Götaland;Säveån;NA;NA;NA;July;NA;NA;NA;Observation;Exact location not known 
2021;Västra Götaland;Säveån;NA;NA;NA;July;NA;NA;NA;Observation;Exact location not known 
2021;Västra Götaland;Säveån;NA;NA;NA;July;NA;NA;NA;Observation;Exact location not known 
2021;Västra Götaland;Säveån;NA;NA;NA;July;NA;NA;NA;Observation;Exact location not known 
2021;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;NA;49;0,8;NA;Caught;NA
2021;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;NA;45;1;NA;Caught;NA
2021;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;NA;45;1;NA;Caught;NA
2021;Västra Götaland;Örekilsälven;NA;NA;NA;NA;NA;NA;NA;Caught;Exact location not known 
2021;Västra Götaland;Örekilsälven;NA;NA;NA;NA;NA;NA;NA;Caught;Exact location not known 
2021;Västra Götaland;Örekilsälven;NA;NA;NA;NA;NA;NA;NA;Caught;Exact location not known 
2021;Västra Götaland;Örekilsälven;NA;NA;NA;NA;NA;NA;NA;Caught;Exact location not known 
2021;Västra Götaland;Örekilsälven;NA;NA;NA;NA;NA;NA;NA;Caught;Exact location not known 
2021;Västra Götaland;Örekilsälven;NA;NA;NA;NA;NA;NA;NA;Caught;Exact location not known 
2021;Västra Götaland;Örekilsälven;NA;NA;NA;NA;NA;NA;NA;Caught;Exact location not known 
2021;Västra Götaland;Örekilsälven;NA;NA;NA;NA;NA;NA;NA;Caught;Exact location not known 
2021;Västra Götaland;Örekilsälven;NA;NA;NA;NA;NA;NA;NA;Caught;Exact location not known 
2021;Västra Götaland;Örekilsälven;NA;NA;NA;NA;NA;NA;NA;Caught;Exact location not known 
2021;Västra Götaland;Enningsdalsälven;;NA;NA;July;50;1;NA;Caught;Exact location not known 
2017;Västra Götaland;Örekilsälven;Kvistrum;58,4622208;11,6851145;August;53;1,3;Male;Caught;NA
2017;Västra Götaland;Örekilsälven;Kvistrum;58,4622208;11,6851145;August;48;1;NA;Caught;NA
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;NA;NA;NA;Caught;NA
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;NA;NA;NA;Caught;NA
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;NA;NA;NA;Caught;NA
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;NA;NA;NA;Caught;NA
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;NA;NA;NA;Caught;NA
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;NA;NA;NA;Caught;NA
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;NA;NA;NA;Caught;NA
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;NA;NA;NA;Caught;NA
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;NA;NA;NA;Caught;NA
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;NA;NA;NA;Caught;NA
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;NA;NA;NA;Caught;NA
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;NA;NA;NA;Caught;NA
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;NA;NA;NA;Caught;NA
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;NA;NA;NA;Caught;NA
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;NA;NA;NA;Caught;NA
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;NA;NA;NA;Caught;NA
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;NA;NA;NA;Caught;NA
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;NA;NA;NA;Caught;NA
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;NA;NA;NA;Caught;NA
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;NA;NA;NA;Caught;NA
2017;Halland;Ätran;Nydala;57,067636;12,655216;August;NA;NA;Male;Caught;First pink salmon caught at Nydala (index river)
2017;Halland;Ätran;Vessingebo;56,9815765;12,6510909;July;NA;NA;NA;Dead;found dead - first pink salmon reported on the westcoast according to Artportalen
2021;Västra Götaland;Göta Älv;Trollhätten;58,2786244;12,2771941;August;NA;NA;NA;Caught;NA
2021;Västra Götaland;Göta Älv;Trollhätten;58,2786244;12,2771941;August;NA;NA;NA;Caught;NA
2021;Västra Götaland;Göta Älv;Trollhätten;58,2786244;12,2771941;August;NA;NA;NA;Caught;NA
2021;Västra Götaland;Göta Älv;Trollhätten;58,2786244;12,2771941;August;NA;NA;NA;Caught;NA
2017;Västra Götaland;Coastal;Ljungskileviken;58,2188061;11,9009348;July;50;NA;NA;Caught;NA
2017;Halland;Fylleån;NA;NA;NA;September;NA;NA;NA;Caught;En död utlekt hona påträffades samma år i Fylleån den 6 september
